date,station_id,precip_mm,mflag,qflag,sflag,excluded
1991-01-24,USW00012928,0.3,,,X,False
1991-01-25,USC00410639,0.8,,,0,False
1991-01-25,USC00410690,,P,,0,True
1991-01-25,USC00411337,,P,,0,True
1991-01-25,USC00411720,0.8,,,0,False
1991-01-25,USC00413063,0.0,,,0,False
1991-01-25,USC00413341,,P,,0,True
1991-01-25,USC00413508,,P,,0,True
1991-01-25,USC00414810,,P,,0,True
1991-01-25,USC00415661,,P,,0,True
1991-01-25,USC00417677,0.0,,,0,False
1991-01-25,USC00417704,0.0,,,0,False
1991-01-25,USC00418081,,P,,0,True
1991-01-25,USC00419007,0.0,,,0,False
1991-01-25,USC00419559,1.5,,,0,False
1991-01-25,USC00419717,0.0,T,,0,False
1991-01-25,USW00012924,0.0,,,0,False
1991-01-25,USW00012926,0.0,,,X,False
1991-01-25,USW00012928,0.0,,,X,False
1991-01-26,USC00410639,,P,,0,True
1991-01-26,USC00410690,,P,,0,True
1991-01-26,USC00411337,,P,,0,True
1991-01-26,USC00411720,0.0,,,0,False
1991-01-26,USC00413063,0.0,,,0,False
1991-01-26,USC00413341,,P,,0,True
1991-01-26,USC00413508,,P,,0,True
1991-01-26,USC00414810,,P,,0,True
1991-01-26,USC00415661,,P,,0,True
1991-01-26,USC00417677,0.0,,,0,False
1991-01-26,USC00417704,0.0,,,0,False
1991-01-26,USC00418081,,P,,0,True
1991-01-26,USC00419007,0.0,,,0,False
1991-01-26,USC00419559,,P,,0,True
1991-01-26,USC00419717,0.0,,,0,False
1991-01-26,USW00012924,0.0,,,0,False
1991-01-26,USW00012926,0.0,,,X,False
1991-01-26,USW00012928,0.0,,,X,False
1991-01-27,USC00410639,,P,,0,True
1991-01-27,USC00410690,,P,,0,True
1991-01-27,USC00411337,,P,,0,True
1991-01-27,USC00411720,0.0,,,0,False
1991-01-27,USC00413063,0.3,,,0,False
1991-01-27,USC00413341,,P,,0,True
1991-01-27,USC00413508,,P,,0,True
1991-01-27,USC00414810,6.6,,,0,False
1991-01-27,USC00415661,0.5,,,0,False
1991-01-27,USC00417677,0.0,,,0,False
1991-01-27,USC00417704,5.1,,,0,False
1991-01-27,USC00418081,,P,,0,True
1991-01-27,USC00419007,0.0,,,0,False
1991-01-27,USC00419559,,P,,0,True
1991-01-27,USC00419717,0.0,,,0,False
1991-01-27,USW00012924,0.5,,,0,False
1991-01-27,USW00012926,1.8,,,X,False
1991-01-27,USW00012928,2.0,,,X,False
1991-01-28,USC00410639,0.5,,,0,False
1991-01-28,USC00410690,,P,,0,True
1991-01-28,USC00411337,,P,,0,True
1991-01-28,USC00411720,0.0,,,0,False
1991-01-28,USC00413063,0.0,,,0,False
1991-01-28,USC00413341,,P,,0,True
1991-01-28,USC00413508,,P,,0,True
1991-01-28,USC00414810,,P,,0,True
1991-01-28,USC00415661,2.0,,,0,False
1991-01-28,USC00417677,2.5,,,0,False
1991-01-28,USC00417704,0.8,,,0,False
1991-01-28,USC00418081,1.0,,,0,False
1991-01-28,USC00419007,0.0,,,0,False
1991-01-28,USC00419559,0.3,,,0,False
1991-01-28,USC00419717,0.0,T,,0,False
1991-01-28,USW00012924,0.0,,,0,False
1991-01-28,USW00012926,0.0,,,X,False
1991-01-28,USW00012928,0.0,,,X,False
1991-01-29,USC00410639,0.5,,,0,False
1991-01-29,USC00410690,,P,,0,True
1991-01-29,USC00411337,,P,,0,True
1991-01-29,USC00411720,0.0,,,0,False
1991-01-29,USC00413063,0.0,,,0,False
1991-01-29,USC00413341,,P,,0,True
1991-01-29,USC00413508,0.5,,,0,False
1991-01-29,USC00414810,,P,,0,True
1991-01-29,USC00415661,,P,,0,True
1991-01-29,USC00417677,0.0,,,0,False
1991-01-29,USC00417704,0.5,,,0,False
1991-01-29,USC00418081,,P,,0,True
1991-01-29,USC00419007,0.0,T,,0,False
1991-01-29,USC00419559,2.8,,,0,False
1991-01-29,USC00419717,0.0,,,0,False
1991-01-29,USW00012924,0.0,T,,0,False
1991-01-29,USW00012926,0.0,T,,X,False
1991-01-29,USW00012928,0.5,,,X,False
1991-01-30,USC00410639,3.6,,,0,False
1991-01-30,USC00410690,,P,,0,True
1991-01-30,USC00411337,,P,,0,True
1991-01-30,USC00411720,0.8,,,0,False
1991-01-30,USC00413063,0.0,,,0,False
1991-01-30,USC00413341,40.6,,,0,False
1991-01-30,USC00413508,1.8,,,0,False
1991-01-30,USC00414810,,P,,0,True
1991-01-30,USC00415661,1.5,,,0,False
1991-01-30,USC00417677,,P,,0,True
1991-01-30,USC00417704,0.0,,,0,False
1991-01-30,USC00418081,0.8,,,0,False
1991-01-30,USC00419007,0.5,,,0,False
1991-01-30,USC00419559,,P,,0,True
1991-01-30,USC00419717,0.0,,,0,False
1991-01-30,USW00012924,0.0,,,0,False
1991-01-30,USW00012926,0.0,,,X,False
1991-01-30,USW00012928,0.0,,,X,False
1991-01-31,USC00410639,,P,,0,True
1991-01-31,USC00410690,,P,,0,True
1991-01-31,USC00411337,,P,,0,True
1991-01-31,USC00411720,0.0,,,0,False
1991-01-31,USC00413063,0.0,,,0,False
1991-01-31,USC00413341,,P,,0,True
1991-01-31,USC00413508,,P,,0,True
1991-01-31,USC00414810,,P,,0,True
1991-01-31,USC00415661,,P,,0,True
1991-01-31,USC00417677,,P,,0,True
1991-01-31,USC00417704,0.0,,,0,False
1991-01-31,USC00418081,,P,,0,True
1991-01-31,USC00419007,0.0,,,0,False
1991-01-31,USC00419559,,P,,0,True
1991-01-31,USC00419717,0.0,,,0,False
1991-01-31,USW00012924,0.0,,,0,False
1991-01-31,USW00012926,0.0,,,X,False
1991-01-31,USW00012928,0.0,,,X,False
1991-02-01,USC00410639,,P,,0,True
1991-02-01,USC00410690,,P,,0,True
1991-02-01,USC00411337,,P,,0,True
1991-02-01,USC00411720,0.0,,,0,False
1991-02-01,USC00413063,0.0,,,0,False
1991-02-01,USC00413341,,P,,0,True
1991-02-01,USC00413508,,P,,0,True
1991-02-01,USC00414810,,P,,0,True
1991-02-01,USC00415661,,P,,0,True
1991-02-01,USC00417677,,P,,0,True
1991-02-01,USC00417704,0.0,,,0,False
1991-02-01,USC00418081,,P,,0,True
1991-02-01,USC00419007,0.0,,,0,False
1991-02-01,USC00419559,,P,,0,True
1991-02-01,USC00419717,0.0,,,0,False
1991-02-01,USW00012924,0.0,,,0,False
1991-02-01,USW00012926,0.0,,,X,False
1991-02-01,USW00012928,0.0,,,X,False
1991-02-02,USC00410639,,P,,0,True
1991-02-02,USC00410690,,P,,0,True
1991-02-02,USC00411337,,P,,0,True
1991-02-02,USC00411720,0.0,,,0,False
1991-02-02,USC00413063,0.0,,,0,False
1991-02-02,USC00413341,,P,,0,True
1991-02-02,USC00413508,,P,,0,True
1991-02-02,USC00414810,,P,,0,True
1991-02-02,USC00415661,,P,,0,True
1991-02-02,USC00417677,,P,,0,True
1991-02-02,USC00417704,0.0,,,0,False
1991-02-02,USC00418081,,P,,0,True
1991-02-02,USC00419007,0.0,,,0,False
1991-02-02,USC00419559,,P,,0,True
1991-02-02,USC00419717,0.0,,,0,False
1991-02-02,USW00012924,0.0,,,0,False
1991-02-02,USW00012926,0.0,,,X,False
1991-02-02,USW00012928,0.0,,,X,False
1991-02-03,USC00410639,,P,,0,True
1991-02-03,USC00410690,6.4,,,0,False
1991-02-03,USC00411337,,P,,0,True
1991-02-03,USC00411720,0.0,,,0,False
1991-02-03,USC00413063,0.0,,,0,False
1991-02-03,USC00413341,5.1,,,0,False
1991-02-03,USC00413508,,P,,0,True
1991-02-03,USC00414810,,P,,0,True
1991-02-03,USC00415661,,P,,0,True
1991-02-03,USC00417677,,P,,0,True
1991-02-03,USC00417704,0.0,,,0,False
1991-02-03,USC00418081,,P,,0,True
1991-02-03,USC00419007,0.0,,,0,False
1991-02-03,USC00419559,24.6,,,0,False
1991-02-03,USC00419717,14.5,,,0,False
1991-02-03,USW00012924,0.0,,,0,False
1991-02-03,USW00012926,0.8,,,X,False
1991-02-03,USW00012928,0.0,T,,X,False
1991-02-04,USC00410639,,P,,0,True
1991-02-04,USC00410690,,P,,0,True
1991-02-04,USC00411337,0.3,,,0,False
1991-02-04,USC00411720,7.4,,,0,False
1991-02-04,USC00413063,14.0,,,0,False
1991-02-04,USC00413341,38.1,,,0,False
1991-02-04,USC00413508,14.2,,,0,False
